Naziv,Zupanija,Naselje,Ulica,Postanski broj,Vrsta
AMBULANTA GRUZ I DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,DUBROVNIK,OBALA PAPE IVANA PAVLA II. 8,20000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA GRUZ II DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,DUBROVNIK,ANDRIJE HEBRANGA 93,20000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA GUNDINCI DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,GUNDINCI,ULICA STJEPANA RADICA 51,35222,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA GUNDINCI DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,GUNDINCI,ULICA STJEPANA RADICA 31,35222,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA GUNJA DOM ZDRAVLJA ZUPANJA,VUKOVARSKO-SRIJEMSKA ZUPANIJA,GUNJA,VLADIMIRA NAZORA 235,32260,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA GVOZD, DOM ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,VRGINMOST,KRALJA PETRA SVACICA BB,44410,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA HEP, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,ULICA CARA HADRIJANA 3,31000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA HERBOS, DOMA ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,SISAK,ULICA NIKOLE TESLE 17,44000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA HORVACANSKA 31A DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,HORVACANSKA CESTA 31 A,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA HORVATOVA DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,SLAVONSKI BROD,ULICA STJEPANA PL. HORVATA 28,35000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA HRVACE,DOMA ZDRAVLJA SPLITSKO-DALMATINSKE zupanije",SPLITSKO-DALMATINSKA ZUPANIJA,HRVACE,HRVACE 226,21233,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA HRVATSKA DUBICA, DOMA ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,HRVATSKA DUBICA,ULICA TOMISLAVA BOGICA 4,44450,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA HRVATSKA KOSTAJNICA, DOMA ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,HRVATSKA KOSTAJNICA,ULICA JOSIPA MARICA 2,44430,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ILACA DOM ZDRAVLJA VUKOVAR,VUKOVARSKO-SRIJEMSKA ZUPANIJA,ILACA,STJEPANA RADICA 2,32248,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ILOK DOM ZDRAVLJA VUKOVAR,VUKOVARSKO-SRIJEMSKA ZUPANIJA,ILOK,J. J. STROSSMAYERA 49,32236,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA IMEDULIN, STARSKIH DOMOVA ZDRAVLJA",ISTARSKA ZUPANIJA,MEDULIN,CENTAR 214,52203,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA INDUSTRIJSKA CETVRT, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,DRINSKA 8,31000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVALJA,ISTARSKA ZUPANIJA,VISNJAN,ISTARSKA 36,52463,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,BUJE,ISTARSKA ULICA 15,52460,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,BUJE,KLESARSKA ULICA BB,52460,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,CITTANOVA,VIA EMONIA BB,52466,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,DAJLA,BUJSKA ULICA - VIA BUIE BB,52466,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,BUZET,,52420,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,LANISCE,,52422,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,ROC,,52425,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,LIVADE,,52427,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,LABIN,SVETOG MIKULE 2,52220,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,POTPICAN,,52333,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,RASA,TRG M. TITA BB,52223,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,RABAC,OBALA MARSALA TITA 24,52221,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,KOROMACNO,,52222,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,NEDESCINA,NEDESCINA BB,52231,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,PAZIN,JURJA DOBRILE 1,52000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,PAZIN,SETALISTE PAZINSKE GI. 9,52000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,PAZIN,,52000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,PAZIN,DUBRAVICA 2,52000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,MOTOVUN,KANAL 4,52424,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,TAR,ISTARSKA 2,52465,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,PULA,MAZURANICEVA ULICA - VIA IVAN MAZURANIC 3,52100,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,ROVINJ,VIA MATTEO BENUSSI 6,52210,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,ROVINJ,VIA DOMENICO PERGOLIS BB,52210,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,PULA,ARSENALSKA ULICA - VIA DELL'ARSENALE 8,52100,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,PULA,ULICA BARTOLOMEA DEI VITREI - VIA BARTOLOMEO DEI VITREI 13,52100,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,PULA,ULICA VALBRUNA - VIA VALBRUNA BB,52100,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,VIZINADA,VIZINADA BB,52447,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,KASTELIR,,52464,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,VRSAR,DALMATINSKA 64 A,52450,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,SVETI LOVREC PAZENATICKI,GRADSKI TRG BB,52448,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,ZMINJ,9.ruj.01,52341,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,KANFANAR,TRG MARKA ZELKA 5,52352,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,BALE,TRG LA MUSA 1,52211,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,PULA,ZAGREBACKA ULICA - VIA ZAGABRIA 34,52100,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,PULA,VIA VITOMIR SIROLA PAJO 6,52100,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA IVANE BRLIC MAZURANIC 46 DOM ZDRAVLJA ZAGREB ZAPAD,GRAD ZAGREB,ZAGREB,ULICA IVANE BRLIC - MAZURANIC 86,10000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA IVANEC BISTRANSKI, DOMA ZDRAVLJA ZAGREBACKE zupanije",ZAGREBACKA ZUPANIJA,IVANEC BISTRANSKI,STUBICKA ULICA 74,10290,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA IVANIC GRAD DOMA ZDRAVLJA ZAGREBACKE zupanije,ZAGREBACKA ZUPANIJA,IVANIC-GRAD,OMLADINSKA ULICA 23,10310,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA IVANICGRADSKA, DOM ZDRAVLJA ZAGREB-ISTOK",GRAD ZAGREB,ZAGREB,IVANICGRADSKA ULICA 38,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA IVANKOVO DOM ZDRAVLJA VINKOVCI,VUKOVARSKO-SRIJEMSKA ZUPANIJA,IVANKOVO,ROJICANI 2,32281,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA IVANOVAC, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,IVANOVAC,DUGA 33,31216,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA IVERUDA, STARSKIH DOMOVA ZDRAVLJA",ISTARSKA ZUPANIJA,PULA,PALLADIOVA ULICA - VIA ANDREA PALLADIO 22,52100,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA IZ VELI - MALI DOM ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,VELI IZ,VELI IZ 367,23284,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA JABLANAC DOM ZDRAVLJA SENJ,LICKO-SENJSKA ZUPANIJA,JABLANAC,ULICA KAROLINE MIHANOVIC 20,53287,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA JABUKOVAC, DOM ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,JABUKOVAC,JABUKOVAC BB,44204,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA JAGODNJAK, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,JAGODNJAK,BORISA KIDRICA 68,31324,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA JAKOVLJE DOMA ZDRAVLJA ZAGREBACKE zupanije,ZAGREBACKA ZUPANIJA,JAKOVLJE,STUBICKA CESTA 4,10297,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA JALZABET, DOMA ZDRAVLJA VARAZDINSKE zupanije",VARAZDINSKA ZUPANIJA,JALZABET,TRG BRACE RADICA 6,42203,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA JANJINA DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,JANJINA,JANJINA 94,20246,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA JARMINA DOM ZDRAVLJA VINKOVCI,VUKOVARSKO-SRIJEMSKA ZUPANIJA,JARMINA,JOSIPA JURAJA STROSSMAYERA 51,32280,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA JASENAK DOM ZDRAVLJA OGULIN,KARLOVACKA ZUPANIJA,JASENAK,JASENAK BB,47314,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA JASENICE-MASLENICA, DOMA ZDRAVLJA ZADARSKE zupanije",ZADARSKA ZUPANIJA,MASLENICA,MASLENICA ULICA PETRA ZORANICA 10,23450,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA JASENOVAC, DOMA ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,JASENOVAC,TRG KRALJA PETRA SVACICA 28,44324,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA JAZINE DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,ZADAR,MOLATSKA ULICA 11,23000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA JOSIPDOL DOM ZDRAVLJA OGULIN,KARLOVACKA ZUPANIJA,JOSIPDOL,OGULINSKA 10,47303,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA JOSIPOVAC, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,JOSIPOVAC,ZAGORSKA 4,31221,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA JUG, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,BISEVSKA 32,31000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA JULIJA MARLICA, DOMA ZDRAVLJA VARAZDINSKE zupanije",VARAZDINSKA ZUPANIJA,VARAZDIN,ULICA JULIJA MERLICA 9,42000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA JURKOVO NOVI VINODOLSKI DOM ZDRAVLJA PRIMORSKO - GORANSKE zupanije,PRIMORSKO-GORANSKA ZUPANIJA,NOVI VINODOLSKI,JURKOVO 2,51250,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KALI-KUKLJICA DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,KALI,ULICA SV. LOVRE 16,23272,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KAPELA, DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije",BJELOVARSKO-BILOGORSKA ZUPANIJA,KAPELA,ULICA FAZINAC 4,43203,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KAPRIJE DOM ZDRAVLJA SIBENIK,SIBENSKO-KNINSKA ZUPANIJA,KAPRIJE,UL. III - PUT SKOLE BB,22235,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KAPTOL, DOMA ZDRAVLJA POZESKO-SLAVONSKE zupanije",POZESKO-SLAVONSKA ZUPANIJA,KAPTOL,MAJSTORSKA BB,34334,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KARLA VIPAUCA 8 DOM ZDRAVLJA SIBENIK,SIBENSKO-KNINSKA ZUPANIJA,SIBENIK,KARLA VIPAUCA 8,22000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KARLOBAG DOM ZDRAVLJA GOSPIC,LICKO-SENJSKA ZUPANIJA,KARLOBAG,ULICA OBALA VLADIMIRA NAZORA BB,53288,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KARLOVAC-G.KRKLECA, DOM ZDRAVLJA KARLOVAC",KARLOVACKA ZUPANIJA,KARLOVAC,GUSTAVA KRKLECA 2,47000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KASINA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,KASINA,CESTA IVANA MAZURANICA 47,10362,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KIJEVO DOM ZDRAVLJA SIBENIK,SIBENSKO-KNINSKA ZUPANIJA,KIJEVO,BAJANI 12,22310,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KISTANJE DOM ZDRAVLJA SIBENIK,SIBENSKO-KNINSKA ZUPANIJA,KISTANJE,UL. MARKA MARULICA 2,22305,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KLAKAR DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,KLAKAR,ULICA KLAKAR 16,35208,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KLOKOCEVIK DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,KLOKOCEVIK,KLOKOCEVIK BB,35211,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KLOSTAR PODRAVSKI, DOMA ZDRAVLJA KOPRIVNICKO-KRIZEVACKE zupanije",KOPRIVNICKO-KRIZEVACKA ZUPANIJA,KLOSTAR PODRAVSKI,ULICA 1. SVIBNJA 10,48350,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KLJACI DOM ZDRAVLJA SIBENIK,SIBENSKO-KNINSKA ZUPANIJA,KLJAKE,UZ CESTU DO AMBULANTE 13,22322,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KNEZEVI VINOGRADI, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,KNEZEVI VINOGRADI,ULICA HRVATSKE REPUBLIKE 5,31309,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KNEZEVO, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,KNEZEVO,VIJENAC GRADA VUKOVARA 15,31302,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KNIN, DZ SIBENIK",SIBENSKO-KNINSKA ZUPANIJA,KNIN,NELIPICEVA 1,22300,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KOLAN-PAG DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,KOLAN,TRG KRALJA TOMISLAVA 5,23251,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KOMAREVO, DOMA ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,GORNJE KOMAREVO,G. KOMAREVO - CESTA 183,44211,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KOMLETINCI DOM ZDRAVLJA VINKOVCI,VUKOVARSKO-SRIJEMSKA ZUPANIJA,KOMLETINCI,BRACE RADIC 15,32253,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KOSINJ DOM ZDRAVLJA GOSPIC,LICKO-SENJSKA ZUPANIJA,DONJI KOSINJ,DONJI KOSINJ BB,53203,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KOSTRENA, DOMA ZDRAVLJA PRIMORSKO-GORANSKE zupanije",PRIMORSKO-GORANSKA ZUPANIJA,KOSTRENA,GLAVANI 89 A,51221,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KOSKA, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,KOSKA,TRG DR. FRANJE TUDMANA 4,31224,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KOTORIBA DOM ZDRAVLJA CAKOVEC,MEDIMURSKA ZUPANIJA,KOTORIBA,ULICA KRALJA TOMISLAVA 119 A,40329,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KOZINO, DOM ZDRAVLJA ZADARSKE zupanije",ZADARSKA ZUPANIJA,KOZINO,PUT ZGONA 5,23231,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KRALJA PETRA KRESIMIRA DOM ZDRAVLJA GOSPIC,LICKO-SENJSKA ZUPANIJA,GOSPIC,ULICA KRALJA PETRA KRESIMIRA 17,53000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KRAPANJ DOM ZDRAVLJA SIBENIK,SIBENSKO-KNINSKA ZUPANIJA,KRAPANJ,OBALA 1 BB,22000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KRAPINA DOM ZDRAVLJA KRAPINSKO-ZAGORSKE zupanije,KRAPINSKO-ZAGORSKA ZUPANIJA,KRAPINA,TRG DR. LJUDEVITA GAJA 14,49000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KRAPINSKE TOPLICE, DOMA ZDRAVLJA KRAPINSKO-ZAGORSKE zupanije",KRAPINSKO-ZAGORSKA ZUPANIJA,KRAPINSKE TOPLICE,ULICA ANTUNA MIHANOVICA 4,49217,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KRASNO POLJE DOM ZDRAVLJA SENJ,LICKO-SENJSKA ZUPANIJA,KRASNO POLJE,KRASNO BB,53274,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KRATECKO, DOMA ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,KRATECKO,KRATECKO 90,44213,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KRNICA, ISTARSKI DOMOVI ZDRAVLJA",ISTARSKA ZUPANIJA,KRNICA,KRNICA BB,52208,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KRNJAK DOM ZDRAVLJA KARLOVAC,KARLOVACKA ZUPANIJA,KRNJAK,KRNJAK 5,47242,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KUJICI, ISTARSKIH DOMOVA ZDRAVLJA",ISTARSKA ZUPANIJA,KUJICI,KUJICI BB,52207,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KUMICICEVA 5, DOM ZDRAVLJA ZAGREB-CENTAR",GRAD ZAGREB,ZAGREB,ULICA EUGENA KUMICICA 5,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KUNA DOM ZDRAVLJA KORCULA,DUBROVACKO-NERETVANSKA ZUPANIJA,KUNA PELJESKA,KUNA 1 A,20243,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KUPARI- MLINI PUT DR.A. STARCEVICA, DOM ZDRAVLJA DUBROVNIK",DUBROVACKO-NERETVANSKA ZUPANIJA,KUPARI,PUT DR. ANTE STARCEVICA 19,20207,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KUTINA-A.G.MATOSA, DOM ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,KUTINA,ULICA ANTUNA GUSTAVA MATOSA 42,44320,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KUTINA-P. PRERADOVICA, DOM ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,KUTINA,ULICA PETRA PRERADOVICA 3,44321,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LAPAD DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,DUBROVNIK,MARKA MARULICA BB,20000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LASINJA DOM ZDRAVLJA KARLOVAC,KARLOVACKA ZUPANIJA,LASINJA,LASINJSKA CESTA 19,47206,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA LASTOVO DOM ZDRAVLJA ""DR.ANTE FRANULOVIC""",DUBROVACKO-NERETVANSKA ZUPANIJA,LASTOVO,PUT SV. MARTINA 3,20290,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA LEKENIK, DOM ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,LEKENIK,ZAGREBACKA ULICA 77 A,44272,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA LEVANJSKA VAROS, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,LEVANJSKA VAROS,LEVANJSKA VAROS 72,31416,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LICKI OSIK DOM ZDRAVLJA GOSPIC,LICKO-SENJSKA ZUPANIJA,LICKI OSIK,LICKI OSIK BB,53201,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA LIPIK, DOMA ZDRAVLJA POZESKO-SLAVONSKE zupanije",POZESKO-SLAVONSKA ZUPANIJA,LIPIK,SLAVONSKA ULICA 39,34551,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LIPOVAC DOM ZDRAVLJA VINKOVCI,VUKOVARSKO-SRIJEMSKA ZUPANIJA,LIPOVAC,BRACE RADIC 2,32246,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA LIPOVLJANI, DOM ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,LIPOVLJANI,ULICA ANTE STARCEVICA 28,44322,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LISANE OSTROVICKE DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,LISANE OSTROVICKE,LISANE OSTROVICKE BB,23420,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LOPATINEC DOM ZDRAVLJA CAKOVEC,MEDIMURSKA ZUPANIJA,PLESKOVEC,PLESKOVEC 30,40311,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LOPUD DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,LOPUD,OBALA IVA KULJEVANA 32 A,20222,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LOVAS DOM ZDRAVLJA VUKOVAR,VUKOVARSKO-SRIJEMSKA ZUPANIJA,LOVAS,ANTE STARCEVICA 6,32237,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LOVINAC DOM ZDRAVLJA GOSPIC,LICKO-SENJSKA ZUPANIJA,LOVINAC,ULICA SVETOG MIHOVILA 2,53244,Ambulanta doma zdravlja dislocirana jedinica
